,Label,Array_Index,Indentation_Number,PEAK_HARDNESS_AVERAGE,VALLEY_HARDNESS_AVERAGE,STRAIN_RATE_SENSITIVITY,ACTIVATION_VOLUME,Area Mean,equivalent_diameter Mean,Aspect Ratio Mean,OrientMax0,OrientMax1,OrientMax2,OrientMax3,OrientMode0,OrientMode1,OrientMode2,OrientMode3,R_Max,G_Max,B_Max,R_Mode,G_Mode,B_Mode
56,Carl,4,9,2.5310607873403588,2.431631387214883,0.0087024174830708,59.89292141779291,2.703440932335033,1.6712490360370915,2.786017985699594,0.2965748361262856,0.9483474852938598,-0.015134053454082329,0.11158572551867171,0.7354111099610741,0.6221354175407625,-0.02172544750859322,0.26766775397450016,0.6213913935856858,1.0,0.8497705127114294,1.0,0.28575670374686934,0.6525105924911172
58,Carl,4,11,2.6894971422980234,2.621920347894191,0.0055257965851528,88.12370135147576,2.4303186569734336,1.5892141133722166,2.356043560701069,0.24670610895981598,-0.6345970714835402,0.7108349620860761,0.17645483655176156,0.30784109141656946,-0.8992416026018422,0.30963371479466584,-0.026932605666397387,0.6374891151317135,1.0,0.5831980583623597,0.7256638721797595,0.9833144038851014,1.0
61,Carl,4,14,2.6536841743016364,2.5624791229664905,0.0075944493327789,65.29372179672899,4.855294888395643,2.128738525080388,3.81991038397251,0.10279351285553177,-0.1963480956002353,-0.6096476820715784,-0.7610588826192966,0.11322857803652676,-0.2039595016330378,-0.6095706955391947,-0.7576301062849149,1.0,0.022446791095619423,0.36815677051108653,1.0,0.009826057610526906,0.35511947287718937
62,Carl,4,15,2.5596669614340586,2.4620421889304303,0.0084439861314338,61.000062746492674,5.044094947788678,2.190673201964102,4.322539014329299,0.7152739391428642,0.6062868935758025,0.019497734604419302,0.3470147446529462,0.7112469101148712,0.6145131425702852,0.03758523391650675,0.3392473738319611,0.9504396312969688,0.6984354547943283,1.0,0.9539666847862694,0.8655705381942731,1.0
97,Carl,7,2,2.897369407529657,2.794798711305284,0.0078266679467581,58.05866068517841,2.059600272831707,1.4607949069821813,2.02337308981728,0.44929602023132653,-0.22976283031186323,-0.5527060431585354,0.6632180319226918,0.4495110518634211,-0.23241577871848623,-0.5475372621487157,0.6664275404078145,0.7298862057879791,0.8324288704915389,1.0,0.7457825634343851,0.8056886449447859,1.0
101,Carl,7,6,2.5914483323385413,2.5121478216863644,0.0067486817531351,75.09557251722343,4.566690075871928,2.141118674612561,3.517956208650898,0.7530475859731619,0.5784961162382113,-0.0001844607191178484,0.31346697231373905,0.7613933178744164,0.5663846699108965,-0.0049427641330248955,0.3153794385638325,0.9827584380900061,0.11967593455609893,1.0,0.9397372442161224,0.03260908676738028,1.0
102,Carl,7,7,2.727630669678641,2.6583912601715256,0.0055833322845242,86.00762615864632,3.128505051722762,1.7838152557447975,3.049593783736956,0.024375281502379872,-0.20671264157311092,-0.5535028917910537,-0.8064181782701128,0.7529503654766729,0.5942566472602921,-0.025945805549035375,0.28151660606421247,1.0,0.017342511733408283,0.8160710604680356,1.0,0.011839942267644732,0.7708196472843649
113,Carl,8,2,2.7347379002514907,2.66848276429062,0.0053256537224142,89.8815942638823,3.254460140035696,1.76246897711426,3.050284414530066,0.30130927989125206,0.39494847874978695,-0.44456476546573903,0.7453794914612535,0.7529503654766729,0.5948001377222607,-0.0051907421638272295,0.28151660606421247,1.0,0.10596585809934167,0.8250122997694201,1.0,0.13081809542392464,0.8373995549720812
114,Carl,8,3,2.601767657692951,2.528270572743179,0.0062224804498519,81.02521688313422,2.537678493833558,1.629350383978045,2.9746841345478114,0.7563032362482003,0.593354030992628,-0.015164645628682052,0.2751480370059998,0.7527236243624659,0.5877628712311406,-0.005129328869551019,0.29650572087922206,1.0,0.030825021496171168,0.79472321011433,1.0,0.11998413437007338,0.9094330527000112
119,Carl,8,8,2.7203967431197214,2.623666677891117,0.0078617933495781,61.56428442655904,3.213798267641528,1.8153120714990525,2.902751215827101,0.2722072767149643,0.37727242215255447,0.35276788137794546,0.8118642373295447,0.26761656732981737,0.36567685080958523,0.3409991800312492,0.8236391035463321,0.6551815853464866,0.3723639003365826,1.0,0.6183798582816593,0.5015165763592457,1.0
