Label,Array_Index,Indentation_Number,PEAK_HARDNESS_AVERAGE,PEAK_HARDNESS_STD,VALLEY_HARDNESS_AVERAGE,VALLEY_HARDNESS_STD,STRAIN_RATE_SENSITIVITY,STRAIN_RATE_SENSITIVITY_STD,ACTIVATION_VOLUME,ACTIVATION_VOLUME_STD,Area Mean,Area Std,equivalent_diameter Mean,equivalent_diameter Std,orientation Mean 0,orientation Std 0,orientation Mean 1,orientation Std 1,Aspect Ratio Mean,Aspect Ratio Std,orientation Mean 2,orientation Std 2,Crystal Type,euler_angle_max,euler_angle_std,euler_angle_2nd_max,euler_angle_2nd_std,mode_euler_angle,prob_threshold
Carl,8,7,,,2.456896808105368,0.0085021500535723,,,,,2.9191581200913426,3.398797096207057,1.6642149458770432,0.9732297620575134,7.952443903604836,18.38936611565212,-60.75483101075411,9.869084640844845,3.021213866466051,2.3872662157997824,,,Double Crystal,[153.46516979  58.38043875  62.66428519],[1.0682138  1.33555224 1.17251534],[129.64570997  97.41055294   0.        ],[0.6215259  1.35602163 0.        ],[153  58  60],0.05
Carl,8,8,2.7203967431197214,0.010040720543565,2.623666677891117,0.0289719098033725,0.0078617933495781,0.008258320220081,61.56428442655904,19.5152725495806,3.213798267641528,3.096067701390585,1.8153120714990525,0.8925116952916489,19.687816459694133,15.082559683547307,-57.517807934336695,10.745290353670097,2.902751215827101,1.8574228660669017,,,Single Crystal,[151.61314818  62.19649953  65.45808613],[1.93764404 2.01832014 0.93038877],[  0.           0.         157.07797379],[0.         0.         1.22547867],[151  60  65],0.05
Carl,8,9,,,,,,,,,2.646527294352917,2.912835563972792,1.6340718367142657,0.8363446896156853,52.70482428852264,18.27224829197265,,,2.8465872753874417,2.491376802159383,,,,,,,,,
Carl,8,10,2.635283649055791,0.0056305515499057,2.599301663062915,0.0493501829308492,0.0029853413716229,0.0051112170524365,165.5027393294077,228.4637369650242,4.3457801949541865,5.042969337962946,2.0214848740384226,1.2028375206055135,71.71919599024584,7.558100659828757,40.13725793684667,10.382860851905251,3.8716404701446487,3.1865823292306565,,,Double Crystal,[ 73.30506542  18.48712927 349.6081552 ],[0.98969758 1.44917894 1.38347758],[110.70365364 104.22867622   0.        ],[3.62261642 1.92793663 0.        ],[ 73  18 349],0.05
Carl,8,11,,,,,,,,,2.4150963244095185,2.6401743324095306,1.5590934325227783,0.8026355419784753,50.268328058108125,18.57936978722256,-43.8343986136136,6.288685903532771,2.573814752010908,1.9234288026384565,,,Single Crystal,[ 71.62661851  20.14620162 348.66085113],[1.44110173 1.80540965 0.63416028],[345.35871774 104.97904323   0.        ],[0.85179989 1.56126493 0.        ],[ 72 105 349],0.05
Carl,8,12,,,,,,,,,1.5435672384407049,1.17973423982127,1.3133262704837685,0.4904130455009848,26.60782992902065,21.89247349437648,-40.31751767251272,14.49744229823438,1.956513003701623,1.1020513529115503,,,Single Crystal,[347.17914933  70.73848665 246.99946988],[1.63750357 0.67159335 1.78996009],[  0.         147.30999879   0.        ],[0.         2.13467109 0.        ],[347 147 246],0.05
Carl,8,13,,,,,,,,,2.532388228810093,2.929887124263133,1.5886708373330811,0.8369359629925426,30.2244998099402,11.765199209714105,-67.25462569358429,15.11779390399616,2.1623436221604218,1.366697555112402,71.27830227234394,11.204312568648955,Polycrystal,[340.59954838 143.57154944 234.06493762],[1.30804054 1.07803753 1.03198352],[ 0.         56.12094388  0.        ],[0.         1.92091816 0.        ],[341 143 234],0.05
Carl,8,14,2.643759869456539,0.0040942160838545,2.5611135065862785,0.0321138749286669,0.0068965897497894,0.0074222475882177,72.05540620924641,28.22517462112025,3.0435751961747517,3.015139495352751,1.7564357916504585,0.8888945983377345,39.19596540226703,6.923173186097965,,,3.022497999512561,2.1744944968502264,,,Single Crystal,[346.0138119  151.79263437 246.5304323 ],[0.91456824 2.6305553  1.11025355],[ 0.         74.85978067  0.        ],[0.         1.01192395 0.        ],[343 151 246],0.05
Carl,8,15,2.7480723105954605,0.0034641679132248,2.6991573618727105,0.0449564907226477,0.0038999756974402,0.0053259385538708,121.74432159966084,112.22381843176316,5.057586981596729,6.1302965191189225,2.140729264975539,1.362643739201114,40.58351880996811,3.7988133563300783,-43.94197515962492,15.335288629304408,3.630864971273008,3.0223169093933584,,,Single Crystal,[347.82234315 150.76457906 248.30312648],[0.89079752 1.55168704 1.86675258],[0. 0. 0.],[0. 0. 0.],[349  79 247],0.05
Carl,8,16,,,,,,,,,3.0432129773335466,2.8485569785657554,1.7670406697837029,0.8673559690938126,49.72701610188951,17.588611474452943,-43.46227393873341,6.413672216703741,3.1560000581027934,2.388094293236576,,,Single Crystal,[346.69735771 157.07409343 249.58867761],[1.27230272 0.44820428 1.02373851],[73.02301262 80.56631712  0.        ],[0.96584517 1.10249395 0.        ],[347  80 248],0.05
