,r,g_true
89,0.89,-0.5265169843882415
90,0.9,-0.5327385198423641
91,0.91,-0.5389807395765485
92,0.92,-0.545225072970534
93,0.93,-0.5514528995286192
94,0.9400000000000001,-0.5576466328707672
95,0.9500000000000001,-0.5637907405453104
96,0.96,-0.5698726403850618
97,0.97,-0.5758834215315862
98,0.98,-0.5818183486658304
99,0.99,-0.5876771207893776
100,1.0,-0.5934638703428039
101,1.01,-0.5991869036756458
102,1.02,-0.6048581990021793
103,1.03,-0.6104926921032675
104,1.04,-0.6161073923420777
105,1.05,-0.6217203813349629
106,1.06,-0.6273497532928166
107,1.07,-0.6330125592414082
108,1.08,-0.6387238168650372
109,1.09,-0.6444956436355498
110,1.1,-0.6503365634395597
111,1.11,-0.656251026549137
112,1.12,-0.6622391701138193
113,1.1300000000000001,-0.6682968321365184
114,1.1400000000000001,-0.6744158169733533
115,1.1500000000000001,-0.6805843956473013
116,1.16,-0.6867880105544825
117,1.17,-0.6930101422728411
118,1.18,-0.6992332868475446
119,1.19,-0.7054399856660594
120,1.2,-0.711613847205855
121,1.21,-0.7177405006929538
122,1.22,-0.7238084259921038
123,1.23,-0.7298096115932096
124,1.24,-0.7357400029063544
125,1.25,-0.7415997156077804
126,1.26,-0.7473930027433646
127,1.27,-0.7531279788640989
128,1.28,-0.7588161187767636
129,1.29,-0.7644715616977572
130,1.3,-0.7701102629226115
131,1.31,-0.7757490439060152
132,1.32,-0.7814045973780549
133,1.33,-0.7870925064755518
134,1.34,-0.7928263357179057
135,1.35,-0.7986168470881921
136,1.36,-0.8044713867783579
137,1.37,-0.8103934777932525
138,1.3800000000000001,-0.8163826412091925
139,1.3900000000000001,-0.8224344551947318
140,1.4000000000000001,-0.8285408467438051
141,1.41,-0.8346905972888012
142,1.42,-0.8408700307719805
143,1.43,-0.847063842102066
144,1.44,-0.8532560158345346
145,1.45,-0.8594307798590973
146,1.46,-0.8655735371431431
147,1.47,-0.8716717202529657
148,1.48,-0.8777155183386642
149,1.49,-0.8836984342105383
150,1.5,-0.889617639564395
151,1.51,-0.8954741086932351
152,1.52,-0.9012725244077485
153,1.53,-0.9070209635693007
154,1.54,-0.9127303827935496
155,1.55,-0.9184139367226779
156,1.56,-0.9240861710841359
157,1.57,-0.9297621399730093
158,1.58,-0.9354565009923743
159,1.59,-0.941182642823939
160,1.6,-0.9469518974406024
161,1.61,-0.9527728836735243
162,1.62,-0.9586510205583036
163,1.6300000000000001,-0.9645882383248632
164,1.6400000000000001,-0.9705829027161406
165,1.6500000000000001,-0.9766299552696445
166,1.6600000000000001,-0.9827212590711902
167,1.67,-0.9888461270906056
168,1.68,-0.9949919992862752
169,1.69,-1.0011452258772968
170,1.7,-1.0072919080539087
171,1.71,-1.0134187442891465
172,1.72,-1.0195138305014653
173,1.73,-1.0255673655769533
174,1.74,-1.0315722199737802
175,1.75,-1.0375243339030527
176,1.76,-1.0434229223556057
177,1.77,-1.0492704763486707
178,1.78,-1.0550725624451047
179,1.79,-1.0608374350638472
180,1.8,-1.0665754875819102
181,1.81,-1.072298578017817
182,1.82,-1.0780192725834472
183,1.83,-1.0837500551397556
184,1.84,-1.089502552308302
185,1.85,-1.0952868225814902
186,1.86,-1.101110753341943
187,1.87,-1.1069796025366063
188,1.8800000000000001,-1.112895712315812
189,1.8900000000000001,-1.1188584108449708
190,1.9000000000000001,-1.1248641064340088
191,1.9100000000000001,-1.1309065658734914
192,1.92,-1.1369773571940762
