,r,g_bcc,g_hcp
63,0.63,-0.3804527954045103,-0.3377516228836636
64,0.64,-0.3871066692196046,-0.3421605100508043
65,0.65,-0.39381697654592296,-0.3464386654594572
66,0.66,-0.40054673486019865,-0.35064370599144423
67,0.67,-0.4072578519348482,-0.3548376676043712
68,0.68,-0.41391330571374063,-0.35908353965388046
69,0.6900000000000001,-0.4204792627805812,-0.36344172659055274
70,0.7000000000000001,-0.4269270141889975,-0.3679666351378529
71,0.71,-0.433234617883784,-0.37270357917594127
72,0.72,-0.43938815374199996,-0.37768617788281567
73,0.73,-0.44538251943901996,-0.3829343960850117
74,0.74,-0.4512217216285551,-0.388453340670096
75,0.75,-0.4569186458126278,-0.39423288522114136
76,0.76,-0.4624943181139882,-0.40024814903844214
77,0.77,-0.4679767012417287,-0.4064608089601154
78,0.78,-0.4733990935967,-0.4128211755403219
79,0.79,-0.47879822317119386,-0.41927092181854364
80,0.8,-0.4842121453577984,-0.4257463155632819
81,0.81,-0.489678064996318,-0.4321817766293556
82,0.8200000000000001,-0.4952302073137309,-0.438513561622112
83,0.8300000000000001,-0.5008978596031994,-0.4446833695711273
84,0.84,-0.5067036957054092,-0.4506416653328164
85,0.85,-0.5126624791594215,-0.45635053187902674
86,0.86,-0.5187802192083204,-0.46178588776087376
87,0.87,-0.5250538279186243,-0.4669389405340973
88,0.88,-0.5314712979861052,-0.4718167889305166
89,0.89,-0.5380123909964843,-0.47644213376232253
90,0.9,-0.5446497966935915,-0.4808521073459606
91,0.91,-0.5513506968522632,-0.4850962808583809
92,0.92,-0.5580786442013511,-0.4892339557071184
93,0.93,-0.5647956488185669,-0.4933308860668142
94,0.9400000000000001,-0.5714643525549435,-0.49745561286110584
95,0.9500000000000001,-0.5780501670208799,-0.5016756127286572
96,0.96,-0.5845232527652839,-0.506053477521192
97,0.97,-0.5908602263833241,-0.5106433398744015
98,0.98,-0.5970454978749664,-0.5154877482711206
99,0.99,-0.603072161752924,-0.5206151713602294
100,1.0,-0.6089423909520604,-0.5260382773356859
101,1.01,-0.6146673110593912,-0.5317530917377912
102,1.02,-0.6202663621346043,-0.5377390884243326
103,1.03,-0.6257661847222684,-0.543960216350377
104,1.04,-0.6311990938892809,-0.5503668120893312
105,1.05,-0.6366012286960666,-0.5568982976811285
106,1.06,-0.642010483077991,-0.563486518256559
107,1.07,-0.6474643366122503,-0.5700595365440605
108,1.08,-0.6529977093599344,-0.5765456739866572
109,1.09,-0.6586409635769179,-0.5828775724129167
110,1.1,-0.6644181666613115,-0.5889960470112802
111,1.11,-0.6703457147327669,-0.5948535110486352
112,1.12,-0.6764313955779696,-0.6004167749271118
113,1.1300000000000001,-0.6826739445308884,-0.6056690556589219
114,1.1400000000000001,-0.6890631186272232,-0.6106110758809964
115,1.1500000000000001,-0.695580284696761,-0.6152611817980328
116,1.16,-0.7021994876342978,-0.6196544641740396
117,1.17,-0.7088889376042562,-0.6238409226499361
118,1.18,-0.7156128309594469,-0.6278827680989502
119,1.19,-0.7223334005630889,-0.631851007358512
120,1.2,-0.7290130780875769,-0.6358214966522567
121,1.21,-0.735616644473705,-0.6398706818953581
122,1.22,-0.7421132454350751,-0.644071263960451
123,1.23,-0.7484781566428877,-0.6484880336252283
124,1.24,-0.7546941975813637,-0.653174113814177
125,1.25,-0.7607527132004926,-0.658167826142824
126,1.26,-0.7666540672565911,-0.6634903656931533
127,1.27,-0.7724076192032814,-0.6691444241272242
128,1.28,-0.7780311860735382,-0.6751138490403444
129,1.29,-0.7835500202831566,-0.6813643697214765
130,1.3,-0.7889953619984919,-0.68784535942609
131,1.31,-0.7944026490598346,-0.6944925452413585
132,1.32,-0.7998094870423879,-0.7012315219805193
133,1.33,-0.8052534957484476,-0.7079818794180396
134,1.34,-0.8107701554728504,-0.7146617153170094
135,1.35,-0.8163907763666961,-0.7211922823043307
136,1.36,-0.8221407071441874,-0.7275025062390679
137,1.37,-0.8280378856412225,-0.7335331180443132
138,1.3800000000000001,-0.8340918141302925,-0.739240159959615
139,1.3900000000000001,-0.8403030179485946,-0.7445976599170478
140,1.4000000000000001,-0.846663018300693,-0.7495993125593833
141,1.41,-0.8531548206409038,-0.754259059911329
142,1.42,-0.8597538905115913,-0.7586105259169059
143,1.43,-0.8664295608032772,-0.7627053235846483
144,1.44,-0.8731467897094766,-0.7666103177252187
145,1.45,-0.8798681685872255,-0.770403986582293
146,1.46,-0.8865560646514545,-0.7741720785832077
147,1.47,-0.8931747757445536,-0.7780028028812217
148,1.48,-0.8996925737701644,-0.78198182179062
149,1.49,-0.9060835197979445,-0.7861873277974777
150,1.5,-0.912328946964042,-0.7906854865476276
151,1.51,-0.918418526356786,-0.7955265099386901
152,1.52,-0.9243508549944766,-0.8007415909480041
153,1.53,-0.9301335324003234,-0.8063408857576273
154,1.54,-0.935782721587452,-0.812312671526599
155,1.55,-0.9413222198045074,-0.8186237429076711
156,1.56,-0.9467820924671018,-0.8252210407063494
157,1.57,-0.9521969487037363,-0.8320344358301518
158,1.58,-0.9576039574451899,-0.8389805248556503
159,1.59,-0.963040717810329,-0.845967233990227
160,1.6,-0.9685431058413794,-0.8528989794057831
161,1.61,-0.9741432209446159,-0.8596820967927821
162,1.62,-0.9798675496260271,-0.866230233710721
163,1.6300000000000001,-0.985735451609086,-0.8724693962125214
164,1.6400000000000001,-0.9917580549025122,-0.8783423566572192
165,1.6500000000000001,-0.9979376229137238,-0.8838121619695882
166,1.6600000000000001,-1.0042674296260283,-0.8888645292604822
167,1.67,-1.0107321497281612,-0.8935089761989432
168,1.68,-1.0173087410741914,-0.8977786035734363
169,1.69,-1.023967768651989,-0.9017285232504518
170,1.7,-1.0306750939653522,-0.9054330020075574
171,1.71,-1.0373938328360888,-0.9089814661096658
172,1.72,-1.0440864693038534,-0.9124735787341276
173,1.73,-1.0507170044194554,-0.916013658496157
174,1.74,-1.057253016797655,-0.9197047490147295
175,1.75,-1.0636675169252803,-0.9236426740942216
176,1.76,-1.0699404891118034,-0.9279104190112474
177,1.77,-1.0760600329369592,-0.9325731649607273
178,1.78,-1.082023039059674,-0.9376742713916891
179,1.79,-1.0878353609822833,-0.9432324512952956
180,1.8,-1.0935114732786013,-0.9492403200501673
181,1.81,-1.0990736362343374,-0.9556644226212487
182,1.82,-1.1045506151249087,-0.9624467608885483
183,1.83,-1.1099760278478183,-0.9695077572697555
184,1.84,-1.115386415874186,-0.9767505074390149
185,1.85,-1.1208191492708546,-0.9840660986285602
186,1.86,-1.1263102859689635,-0.9913397052055353
187,1.87,-1.1318925079808497,-0.9984571238377166
188,1.8800000000000001,-1.137593252754693,-1.0053113796817894
189,1.8900000000000001,-1.1434331465695167,-1.01180902472794
190,1.9000000000000001,-1.1494248294645901,-1.0178757606595301
191,1.9100000000000001,-1.155572238670387,-1.0234610510705024
192,1.92,-1.1618703911594486,-1.028541440142816
193,1.93,-1.168305677279383,-1.0331223642842573
194,1.94,-1.174856648112689,-1.0372383261005627
195,1.95,-1.181495250911333,-1.0409513919271192
196,1.96,-1.188188441300195,-1.0443480698816532
197,1.97,-1.1949000794013673,-1.0475347196119655
198,1.98,-1.2015930008320137,-1.0506317321797605
199,1.99,-1.2082311435949666,-1.0537667937156259
200,2.0,-1.2147816087755352,-1.0570676050664618
201,2.0100000000000002,-1.221216536848915,-1.060654467962437
202,2.02,-1.2275146920567814,-1.0646331636712385
203,2.0300000000000002,-1.2336626641068809,-1.0690885413549516
204,2.04,-1.2396556184108714,-1.074079200428229
205,2.05,-1.2454975519322113,-1.07963359554671
206,2.06,-1.2512010399732802,-1.0857478171725936
